0,1,2,3,4,5,6,7,8,month
10:00p,Philadelphia 76ers,112,Los Angeles Clippers,122,Box Score,,0,,March
10:00p,Cleveland Cavaliers,98,Sacramento Kings,100,Box Score,,0,,March
,,,,,,,,,March
1:00p,Phoenix Suns,101,Charlotte Hornets,97,Box Score,OT,"3,850",,March
7:00p,Portland Trail Blazers,122,Toronto Raptors,117,Box Score,,"2,021",,March
9:00p,Atlanta Hawks,102,Denver Nuggets,126,Box Score,,0,,March
10:00p,Orlando Magic,93,Los Angeles Lakers,96,Box Score,,0,,March
7:00p,Indiana Pacers,124,Washington Wizards,132,Box Score,,0,,March
7:30p,New Orleans Pelicans,115,Boston Celtics,109,Box Score,,"2,298",,March
7:30p,Minnesota Timberwolves,107,Brooklyn Nets,112,Box Score,,"1,732",,March
7:30p,Miami Heat,98,New York Knicks,88,Box Score,,"1,981",,March
8:00p,Toronto Raptors,104,Detroit Pistons,118,Box Score,,750,,March
8:00p,Memphis Grizzlies,120,Houston Rockets,110,Box Score,,"3,319",,March
8:00p,Dallas Mavericks,127,Oklahoma City Thunder,106,Box Score,,0,,March
8:30p,Sacramento Kings,132,San Antonio Spurs,115,Box Score,,"2,876",,March
9:00p,Cleveland Cavaliers,75,Utah Jazz,114,Box Score,,"5,546",,March
10:00p,Chicago Bulls,102,Golden State Warriors,116,Box Score,,0,,March
10:00p,Milwaukee Bucks,105,Los Angeles Clippers,129,Box Score,,0,,March
7:00p,Charlotte Hornets,114,Washington Wizards,104,Box Score,,0,,March
9:00p,Philadelphia 76ers,95,Denver Nuggets,104,Box Score,,"3,574",,March
10:00p,Orlando Magic,103,Los Angeles Clippers,96,Box Score,,0,,March
10:00p,Atlanta Hawks,110,Phoenix Suns,117,Box Score,,"3,173",,March
7:00p,Portland Trail Blazers,124,Detroit Pistons,101,Box Score,,750,,March
7:00p,Miami Heat,92,Indiana Pacers,87,Box Score,,0,,March
7:30p,Dallas Mavericks,113,Boston Celtics,108,Box Score,,"2,298",,March
7:30p,Houston Rockets,108,Brooklyn Nets,120,Box Score,,"1,773",,March
8:00p,Utah Jazz,111,Memphis Grizzlies,107,Box Score,,"2,314",,March
8:00p,New York Knicks,101,Minnesota Timberwolves,102,Box Score,,0,,March
8:00p,Toronto Raptors,103,Oklahoma City Thunder,113,Box Score,,0,,March
8:30p,Sacramento Kings,106,San Antonio Spurs,120,Box Score,,"2,802",,March
10:00p,Milwaukee Bucks,112,Los Angeles Lakers,97,Box Score,,0,,March
10:00p,Chicago Bulls,116,Phoenix Suns,121,Box Score,,"3,459",,March
